rainfall_mm,avg_temp_c,soil_ph,humidity_pct,sunlight_hours,fertilizer_kg_ha,planting_density_k_ha,pest_incidence_pct,variety,soil_type,yield_tonnes_ha
1137.6,32.2,6.36,67.1,6.39,60.1,8.85,1.2,TME 419,Sandy,22.75
1052.1,29.9,5.7,87.6,9.15,36.5,6.74,9.0,Local,Clay,19.99
1023.2,27.3,4.96,76.1,7.47,67.2,12.82,6.5,TME 419,Loam,29.49
1454.9,24.6,5.85,75.2,9.13,109.5,14.0,12.2,TMS 98/0505,Clay,27.83
1307.1,24.5,6.84,55.7,7.56,126.2,12.45,15.7,TME 419,Loam,29.16
992.1,28.6,4.93,78.1,7.73,103.7,13.18,19.3,TME 419,Loam,25.69
1469.9,28.3,5.26,58.9,8.87,0.0,9.14,11.5,TMS 98/0505,Sandy,22.4
1292.2,31.2,6.09,56.4,6.95,214.5,8.41,6.2,TME 419,Sandy-Loam,28.29
1443.9,29.0,5.31,65.8,6.28,185.2,8.05,31.9,TME 419,Loam,30.15
1388.9,22.5,5.45,63.0,7.74,146.7,11.61,39.1,TMS 98/0505,Sandy-Loam,26.32
951.3,30.2,5.7,67.3,8.24,234.4,10.57,16.4,TME 419,Loam,28.71
1031.9,24.0,5.04,52.7,5.92,61.4,9.81,7.4,TMS 30572,Sandy,20.81
1424.2,25.8,5.32,81.5,5.63,233.3,13.24,29.8,Local,Loam,25.76
1383.1,27.8,6.49,83.5,6.67,62.1,11.01,0.5,Local,Sandy,22.68
1193.7,33.0,5.08,46.6,7.5,134.3,7.9,11.7,TME 419,Sandy-Loam,25.93
1235.2,36.3,4.88,81.7,7.46,43.6,8.3,8.0,TME 419,Sandy-Loam,23.34
1583.3,28.8,5.56,60.3,4.79,120.9,11.7,3.4,TMS 98/0505,Clay,27.03
1022.5,26.5,6.51,80.3,8.79,143.2,12.6,12.2,TMS 98/0505,Clay,29.57
1364.1,28.6,5.86,69.2,5.73,110.7,11.38,6.4,TMS 98/0505,Loam,30.33
1139.3,29.7,5.67,70.3,6.18,162.8,14.74,15.1,TME 419,Sandy-Loam,25.64
1134.7,26.0,6.03,67.8,5.42,125.9,14.09,15.3,TMS 98/0505,Loam,31.04
1529.6,32.4,4.78,84.5,9.74,88.7,11.1,8.8,TMS 30572,Clay,24.39
1447.6,27.7,6.35,55.1,6.79,86.0,7.9,11.3,TME 419,Loam,29.54
1444.1,28.5,6.27,77.3,5.48,168.7,6.73,12.7,TMS 30572,Sandy-Loam,29.34
1591.6,29.0,5.71,83.2,7.54,80.8,9.03,23.1,Local,Sandy-Loam,24.34
1206.3,28.3,6.7,78.6,7.42,174.9,11.88,13.5,Local,Sandy-Loam,23.16
1404.6,29.5,5.21,97.9,6.27,193.4,14.57,23.2,TMS 30572,Loam,25.95
1106.9,25.1,6.79,63.7,7.51,19.9,11.04,20.9,TMS 30572,Sandy,23.32
1297.2,25.3,6.11,81.5,5.51,188.0,12.92,20.7,TME 419,Loam,27.29
1161.0,23.7,5.76,68.7,5.91,243.6,9.39,28.9,TME 419,Clay,25.62
1229.1,28.3,5.99,84.8,4.09,135.1,11.56,3.8,TMS 98/0505,Clay,30.07
1378.5,29.3,5.92,69.9,4.91,155.9,12.06,10.3,TMS 30572,Sandy,28.18
954.5,28.4,6.85,65.3,8.67,182.2,5.05,32.6,TME 419,Loam,26.28
1827.7,32.0,5.25,85.7,8.47,103.5,8.97,12.4,Local,Sandy,20.14
898.2,27.0,5.47,64.1,6.58,130.9,12.37,0.0,Local,Sandy-Loam,25.03
835.7,29.0,6.73,53.0,8.5,41.1,10.69,13.0,TMS 98/0505,Sandy,26.3
1547.4,23.7,5.58,63.8,6.31,128.3,7.01,16.3,TME 419,Clay,23.5
1437.5,25.8,6.63,77.4,6.21,149.9,4.0,0.0,TME 419,Loam,30.85
1387.2,29.1,7.19,86.7,6.57,151.0,9.09,28.3,TME 419,Loam,28.18
1388.5,29.5,5.72,71.3,6.35,183.9,9.82,7.9,TMS 98/0505,Sandy-Loam,31.7
1196.3,26.1,6.48,85.8,6.24,73.5,7.79,18.3,TMS 30572,Sandy,26.84
930.8,26.8,5.19,53.7,7.87,88.0,10.36,12.7,TMS 30572,Sandy,25.12
1222.7,22.4,6.53,64.7,6.68,233.7,11.27,2.1,TME 419,Sandy,24.49
996.9,25.9,6.14,66.5,7.35,111.0,11.68,4.3,Local,Loam,26.12
1492.5,29.7,6.33,68.6,7.74,132.0,4.11,5.6,TMS 98/0505,Clay,25.53
1155.9,28.7,5.55,71.0,6.97,116.0,6.71,25.9,TMS 98/0505,Loam,29.54
952.4,28.5,4.84,78.3,5.34,70.7,9.24,13.5,TMS 98/0505,Clay,24.32
1103.6,27.1,6.35,64.7,4.88,217.4,11.43,9.8,TMS 98/0505,Sandy,27.53
1323.9,27.0,4.56,71.7,6.68,88.3,11.22,5.7,TMS 30572,Sandy-Loam,27.17
1030.9,25.0,5.78,69.5,6.29,52.4,11.18,27.0,TMS 30572,Sandy-Loam,25.81
953.3,29.1,6.66,58.9,6.6,93.0,9.04,29.6,TMS 30572,Sandy-Loam,26.38
1273.1,28.3,6.13,68.6,6.48,0.0,9.18,26.8,TMS 30572,Sandy-Loam,23.93
1273.5,28.5,7.36,68.3,9.6,80.9,8.18,19.9,Local,Loam,21.6
1047.9,25.4,6.72,68.0,4.9,61.9,11.92,17.9,TME 419,Loam,26.69
1058.7,20.5,5.54,70.4,4.11,157.0,7.7,2.8,TMS 98/0505,Clay,21.88
1269.6,30.3,6.02,70.9,6.9,79.6,12.13,12.5,TME 419,Sandy,24.7
765.6,25.6,5.97,64.8,6.05,173.3,10.52,8.2,TMS 98/0505,Loam,31.27
777.8,24.4,4.89,85.3,6.88,203.9,9.89,0.0,Local,Sandy,20.52
984.5,29.1,5.34,56.0,7.2,166.9,8.36,25.6,TME 419,Loam,26.35
1136.0,25.8,5.61,61.3,8.04,107.1,6.61,8.0,TME 419,Loam,28.88
1293.3,30.2,4.57,100.0,4.69,128.5,8.38,27.0,Local,Sandy,14.7
1642.6,28.9,6.03,57.5,5.83,28.5,9.17,23.8,Local,Sandy,19.47
1457.3,29.1,5.83,53.8,7.01,112.0,4.08,20.6,Local,Clay,24.4
1152.0,22.9,4.83,78.8,7.42,68.4,9.51,21.1,TMS 30572,Sandy,24.22
1194.3,30.6,6.28,45.1,9.13,161.7,12.31,8.8,Local,Sandy-Loam,25.02
899.2,27.8,6.5,67.2,7.65,274.4,11.42,33.6,Local,Sandy,21.42
1194.4,25.9,6.16,95.7,6.43,150.0,8.76,15.4,Local,Clay,21.61
1113.4,27.4,5.77,51.5,5.43,0.5,10.12,18.0,TMS 30572,Loam,23.68
1296.8,21.7,6.41,46.2,5.82,98.3,8.61,8.5,TMS 30572,Sandy,24.29
951.8,28.2,6.48,52.0,5.79,127.3,10.37,5.7,TMS 30572,Loam,28.97
1355.8,23.9,6.22,80.8,7.29,125.2,13.85,19.8,TME 419,Loam,29.01
1659.8,22.9,5.42,83.5,6.81,76.2,12.42,17.2,Local,Sandy-Loam,23.54
1167.4,22.4,6.19,63.8,4.91,134.7,11.3,7.1,TMS 30572,Clay,26.61
1320.5,30.3,6.84,78.2,5.98,45.4,8.77,0.6,TMS 30572,Sandy,26.06
1407.0,25.1,5.58,86.7,7.55,63.3,11.87,2.3,Local,Sandy,19.78
1079.6,31.6,7.47,91.4,6.92,158.7,5.78,27.0,TME 419,Loam,25.51
1267.2,25.4,5.63,67.0,7.18,59.1,9.37,8.9,Local,Sandy,20.23
1203.8,21.9,6.02,42.4,6.96,152.3,11.46,11.6,Local,Loam,22.9
1229.3,23.7,5.53,60.1,8.45,37.8,11.85,29.5,TMS 30572,Sandy-Loam,26.86
968.1,30.7,6.16,64.9,6.78,225.9,11.67,3.8,TME 419,Loam,31.39
1207.4,26.5,4.78,66.9,6.04,73.5,10.74,7.7,Local,Clay,19.7
1349.4,25.4,5.62,67.7,5.4,106.6,9.51,7.3,TME 419,Clay,25.78
1635.3,27.5,5.24,83.4,6.8,139.8,11.34,31.2,TMS 98/0505,Sandy-Loam,26.06
1487.8,28.5,6.09,85.3,3.57,86.1,7.62,34.9,TMS 30572,Sandy,21.87
1846.0,30.4,6.7,67.9,6.28,128.6,7.89,22.5,TMS 98/0505,Clay,25.02
969.8,31.3,6.45,83.2,6.25,154.5,10.15,22.8,TME 419,Sandy-Loam,24.83
1461.7,25.9,4.34,74.3,4.86,177.6,10.43,9.2,TMS 30572,Sandy,22.46
1255.0,23.0,7.43,70.8,5.39,167.5,5.44,34.5,TME 419,Loam,23.91
1856.9,25.8,6.21,80.9,7.47,109.7,11.14,17.7,Local,Sandy-Loam,24.2
957.5,27.8,5.46,70.9,6.78,111.2,11.93,23.5,TME 419,Clay,23.65
948.1,24.1,6.11,94.7,6.62,260.9,9.81,13.9,TME 419,Loam,27.13
1020.2,24.1,6.12,52.7,6.87,177.0,15.94,12.3,Local,Loam,23.42
562.8,28.0,5.53,63.8,6.61,64.7,8.29,31.6,TMS 30572,Loam,25.38
1042.3,26.9,6.14,68.5,7.99,126.0,9.1,20.4,Local,Loam,25.51
972.3,27.1,5.57,75.3,6.65,99.9,9.01,29.5,TME 419,Loam,26.8
1245.1,24.7,5.72,85.2,4.75,111.9,9.81,17.6,Local,Loam,26.48
1302.5,26.3,5.52,69.7,8.46,46.2,9.18,6.5,TME 419,Clay,27.14
1762.9,24.2,5.0,52.9,6.94,95.3,6.48,9.2,Local,Clay,21.62
1485.1,29.7,6.1,80.1,5.79,228.7,8.63,16.0,Local,Sandy-Loam,26.58
1026.9,30.1,6.41,79.1,5.0,154.7,9.76,8.7,TME 419,Sandy,27.95
930.5,21.5,6.36,46.7,6.98,0.0,13.07,3.9,TME 419,Sandy-Loam,19.8
1347.6,24.2,6.57,70.0,6.36,193.0,15.51,27.0,TME 419,Loam,27.28
803.9,22.5,6.23,50.9,8.39,185.4,13.34,9.6,Local,Loam,23.2
1749.4,25.0,5.63,62.0,6.08,98.4,8.06,16.4,TME 419,Sandy-Loam,23.88
1553.8,26.7,6.59,59.2,5.5,163.0,8.26,18.0,TME 419,Loam,30.26
1059.2,22.7,5.05,79.7,7.57,68.4,9.6,9.1,TME 419,Sandy,22.3
686.1,24.2,5.37,71.4,7.61,91.8,14.46,29.5,TMS 30572,Sandy,20.07
1606.2,24.0,5.33,54.6,6.7,209.9,9.59,3.8,TME 419,Loam,27.68
1165.6,27.6,6.76,80.6,7.31,103.7,6.68,17.6,TME 419,Clay,24.81
1571.3,27.2,6.66,52.8,6.45,7.8,8.75,17.5,TMS 98/0505,Sandy-Loam,25.33
721.7,24.8,6.34,74.0,6.78,116.2,11.89,14.5,TMS 30572,Clay,25.53
1020.2,27.5,6.75,60.2,7.9,115.3,11.72,2.0,TMS 98/0505,Sandy-Loam,32.57
1201.6,25.4,5.38,65.6,7.25,191.9,9.5,23.7,TMS 30572,Clay,25.35
1214.1,26.2,6.24,76.1,6.3,120.9,11.71,22.4,TME 419,Sandy-Loam,29.73
1065.0,32.0,5.91,76.3,8.12,94.7,4.32,8.2,Local,Sandy,21.72
1386.9,31.0,6.59,86.0,3.66,182.7,10.26,22.1,TMS 30572,Sandy-Loam,27.88
879.7,23.1,5.92,69.0,8.96,127.2,12.15,18.7,TMS 98/0505,Loam,30.23
1157.3,29.5,5.73,73.7,4.45,75.0,7.92,2.2,TMS 30572,Sandy-Loam,28.53
1236.1,29.4,6.38,64.7,5.75,189.3,7.91,6.5,TMS 98/0505,Sandy,29.6
1354.3,23.6,6.61,72.2,6.45,131.6,5.33,26.4,TME 419,Clay,24.61
1413.5,29.5,5.53,75.3,6.32,120.2,13.97,18.1,TME 419,Clay,22.99
862.6,31.6,5.96,68.8,7.71,130.7,8.2,9.4,TMS 98/0505,Sandy-Loam,29.63
739.8,23.6,5.26,48.4,5.23,55.8,10.6,6.4,TMS 30572,Clay,24.07
1583.3,24.2,4.25,74.0,6.81,88.3,11.51,9.8,TMS 98/0505,Loam,24.09
1299.7,30.1,6.14,74.4,5.81,120.2,13.78,10.6,TMS 30572,Loam,29.65
975.5,27.8,6.43,61.8,6.85,108.3,9.62,6.5,TME 419,Loam,28.76
1665.3,28.7,6.18,54.6,6.42,196.3,8.65,0.0,TME 419,Sandy,24.78
1234.7,28.0,4.64,87.7,6.61,133.0,10.43,26.4,TMS 98/0505,Sandy,20.89
1553.8,28.2,5.75,75.9,5.84,171.3,13.21,24.7,TME 419,Sandy,22.34
1220.3,23.0,4.45,67.3,5.89,120.6,9.57,2.3,Local,Loam,21.83
1818.2,30.1,6.96,56.4,6.84,183.4,7.61,16.4,TME 419,Sandy-Loam,22.86
1726.6,30.5,5.24,60.1,7.63,143.9,6.15,6.0,TME 419,Sandy-Loam,25.51
1125.3,26.3,6.88,85.6,5.78,120.8,6.95,12.4,Local,Sandy,20.02
1491.5,26.9,6.66,71.7,5.46,119.2,12.16,11.6,TMS 30572,Sandy,25.58
1393.6,22.4,5.37,63.4,7.24,62.7,9.2,10.7,Local,Sandy,17.32
1610.6,28.5,5.21,76.1,6.46,150.4,8.48,35.0,TME 419,Loam,26.68
910.5,28.7,6.25,60.2,7.5,117.6,8.21,10.6,TMS 30572,Sandy,24.71
1405.8,26.8,5.41,88.0,5.41,89.9,10.21,6.9,TME 419,Loam,29.86
1517.5,30.4,6.07,86.2,4.36,186.4,9.4,7.4,TMS 30572,Loam,29.17
672.4,26.0,5.66,64.4,5.86,45.0,9.32,25.4,TME 419,Loam,25.19
845.0,28.7,4.75,62.5,5.58,94.7,13.37,0.0,TMS 98/0505,Loam,27.05
588.2,23.9,4.44,38.6,6.41,181.7,13.85,7.4,Local,Loam,17.62
1119.2,26.9,6.16,52.2,5.74,138.9,5.97,29.5,Local,Clay,20.78
1415.3,26.5,5.61,53.9,7.39,117.1,10.82,17.4,TMS 98/0505,Sandy-Loam,28.34
1650.7,27.7,5.61,71.6,6.15,135.1,8.06,16.9,TMS 30572,Loam,29.34
1222.2,25.9,6.49,66.1,6.68,130.8,9.38,36.3,Local,Sandy,21.12
1688.6,26.6,6.82,53.9,6.69,29.0,10.77,17.5,TMS 98/0505,Loam,26.87
786.0,29.5,5.81,66.6,6.73,99.0,9.47,7.9,TME 419,Sandy,25.6
689.0,25.7,5.76,76.1,6.47,217.0,10.58,12.2,TMS 98/0505,Loam,31.3
1183.3,22.2,6.35,76.3,7.11,80.4,11.68,3.6,TME 419,Sandy,25.79
1315.2,32.2,5.05,47.2,5.55,100.9,10.74,27.6,TME 419,Loam,25.56
1190.2,31.1,6.16,68.5,8.18,87.5,8.38,20.7,TME 419,Sandy,25.33
579.8,23.1,6.39,53.4,6.22,114.8,8.43,26.2,TME 419,Clay,20.87
1173.3,29.1,6.48,80.8,4.93,85.0,6.4,27.1,TME 419,Sandy,22.34
808.7,25.5,4.64,79.4,6.73,149.2,7.87,10.9,TME 419,Loam,25.42
1400.9,27.8,5.47,59.2,5.48,131.8,14.91,5.6,Local,Sandy,22.0
1310.0,27.9,5.39,60.8,7.3,166.4,8.02,14.5,Local,Sandy,25.34
918.0,26.3,6.07,64.5,9.15,56.9,7.02,6.3,Local,Sandy-Loam,25.85
1045.8,24.6,6.34,43.0,5.56,99.6,10.8,16.6,TMS 98/0505,Clay,24.44
882.2,24.9,7.05,74.0,6.9,106.5,9.72,26.3,TME 419,Sandy,21.92
1181.2,24.3,5.65,66.7,4.39,147.3,9.51,13.3,TMS 30572,Clay,29.12
1486.5,24.5,5.65,81.6,7.04,72.4,13.52,16.5,TMS 98/0505,Clay,26.01
904.3,26.8,6.8,56.8,5.44,174.9,11.37,14.1,TMS 30572,Loam,28.71
1351.2,24.9,6.21,62.6,5.75,191.2,8.68,23.0,TMS 98/0505,Loam,28.6
1040.9,29.0,6.89,51.9,5.18,60.7,8.94,8.3,TME 419,Sandy-Loam,28.45
962.1,31.5,6.2,57.9,7.38,90.5,8.74,0.0,Local,Sandy,22.97
1167.9,25.3,5.19,55.8,7.71,88.1,12.19,19.7,TME 419,Loam,25.65
889.4,27.7,5.07,82.0,6.53,277.9,9.23,24.9,TME 419,Loam,25.56
1033.9,28.5,4.91,61.6,5.46,94.2,5.52,19.5,TMS 98/0505,Clay,24.1
840.6,28.4,6.46,71.5,8.41,220.7,9.88,8.6,TME 419,Sandy-Loam,29.28
1789.4,27.2,6.83,65.4,5.6,44.0,6.16,3.6,Local,Sandy-Loam,23.47
1210.6,29.2,7.29,54.8,3.91,60.6,15.46,19.9,TMS 30572,Clay,22.85
990.1,28.4,6.59,68.0,7.05,78.8,7.59,16.4,TME 419,Sandy-Loam,26.93
1264.2,23.3,6.81,77.2,5.17,69.3,9.6,13.7,Local,Clay,20.38
1166.3,29.6,5.59,55.5,7.69,103.9,10.65,33.2,TME 419,Clay,24.43
1133.7,29.7,5.19,79.7,6.04,77.5,9.28,5.5,TMS 98/0505,Sandy-Loam,27.75
1384.3,24.7,6.6,59.8,7.22,70.8,9.27,32.8,TMS 30572,Sandy,23.84
1427.3,27.1,6.29,64.2,8.18,189.5,11.05,15.3,TME 419,Clay,27.67
1040.8,29.0,6.08,76.4,5.05,193.4,13.82,0.0,TME 419,Clay,26.01
1027.3,26.4,6.27,62.0,5.82,177.0,11.92,13.2,Local,Sandy-Loam,25.36
1117.5,30.2,6.23,70.5,6.41,151.4,13.7,24.6,TME 419,Sandy-Loam,26.41
509.4,34.1,6.9,66.2,8.35,125.6,7.38,11.3,TMS 30572,Sandy-Loam,23.54
745.4,24.6,6.91,71.6,5.71,90.2,10.79,0.3,TME 419,Sandy-Loam,26.21
1610.1,22.9,6.38,41.4,5.79,62.8,10.39,13.4,Local,Loam,22.71
1693.5,27.9,6.59,48.0,7.07,141.8,10.88,6.4,TMS 98/0505,Sandy,26.98
1125.3,29.2,6.36,77.4,5.81,49.6,13.44,19.9,TMS 30572,Sandy,25.1
1373.0,26.3,5.68,82.4,6.68,60.4,9.45,22.7,TMS 30572,Loam,29.61
1293.4,31.4,6.53,59.1,4.64,189.2,8.99,4.4,Local,Loam,27.4
2123.7,23.0,5.02,67.1,9.16,234.0,11.33,7.9,Local,Loam,22.19
1535.9,29.1,6.74,73.5,4.88,143.6,5.55,22.6,Local,Loam,22.04
1161.6,25.2,5.16,78.3,6.11,186.4,9.41,6.4,TMS 30572,Sandy-Loam,27.77
913.3,32.2,6.2,45.7,6.46,105.2,9.66,4.2,Local,Loam,23.07
718.1,33.0,5.41,59.4,8.8,39.7,7.7,3.2,TMS 30572,Sandy-Loam,28.05
1261.0,24.7,6.39,66.0,4.91,156.7,12.64,18.5,TMS 98/0505,Sandy-Loam,31.09
973.1,25.4,5.98,78.4,8.88,154.2,7.34,18.1,TME 419,Loam,29.88
773.3,29.6,4.88,100.0,7.41,124.3,9.66,8.2,TME 419,Loam,27.0
1006.0,25.8,6.29,67.3,7.0,105.5,10.73,15.1,TMS 30572,Clay,27.44
875.5,26.9,5.6,53.1,5.32,177.7,13.38,30.3,TMS 98/0505,Clay,25.38
1706.1,27.1,6.62,74.8,7.19,60.9,9.97,5.3,TMS 98/0505,Loam,28.41
1464.5,21.2,6.0,85.9,5.63,73.6,12.34,0.0,Local,Sandy,20.12
1197.6,27.0,6.28,71.3,8.02,59.5,11.75,19.6,Local,Loam,24.12
1644.0,24.9,5.33,59.1,5.33,125.1,10.31,13.9,TMS 30572,Sandy,24.54
1223.2,25.5,5.59,81.5,6.36,54.7,7.28,7.9,TMS 30572,Loam,28.71
941.6,31.3,5.68,78.0,5.83,78.9,6.41,21.5,Local,Loam,25.37
1656.9,23.2,6.6,57.7,5.31,77.7,10.27,23.4,TME 419,Clay,24.62
1361.7,29.4,7.17,74.6,7.39,104.4,8.64,0.0,TMS 30572,Sandy-Loam,29.34
888.8,26.2,5.44,82.0,7.14,30.8,12.3,8.5,Local,Clay,20.69
1142.9,26.2,6.75,84.2,7.95,125.2,11.86,38.2,TMS 98/0505,Sandy-Loam,29.87
937.3,29.4,4.48,69.2,4.36,194.8,9.54,20.8,Local,Clay,17.75
785.2,28.0,5.16,65.7,7.78,128.1,7.11,21.8,TMS 30572,Clay,24.91
1477.9,28.7,5.33,84.7,9.51,212.5,11.28,26.7,TMS 30572,Loam,29.32
1772.8,29.9,5.05,55.5,5.96,200.0,7.46,15.2,TME 419,Loam,25.53
780.4,26.0,4.89,75.3,8.77,166.7,8.1,23.0,TMS 30572,Sandy-Loam,25.63
1368.9,25.2,6.29,53.6,6.18,124.5,7.55,22.2,TMS 30572,Sandy-Loam,24.84
1004.8,23.7,5.85,82.8,4.85,121.4,9.65,20.4,TMS 98/0505,Loam,26.63
1053.9,24.5,6.27,66.9,6.13,165.8,12.93,11.8,TME 419,Sandy,25.6
1022.3,35.8,6.48,85.2,7.76,96.5,9.99,16.7,TMS 30572,Clay,26.23
940.8,30.7,6.19,75.9,5.49,7.0,8.89,9.1,TMS 30572,Loam,27.5
1214.6,22.9,6.46,55.3,5.78,149.5,6.19,15.1,TME 419,Sandy,22.53
950.7,23.0,5.95,87.1,7.21,52.1,11.38,3.3,TMS 98/0505,Sandy-Loam,26.53
1281.1,28.4,5.17,88.6,6.5,62.3,8.05,7.1,Local,Loam,25.13
1184.9,28.6,6.74,80.6,7.2,120.0,10.29,12.2,Local,Clay,22.71
1128.3,28.6,5.59,60.9,6.79,114.3,9.11,5.6,TME 419,Sandy-Loam,29.24
927.7,26.2,5.35,66.3,7.08,35.3,12.1,9.9,Local,Loam,23.96
1027.0,26.6,5.88,71.7,5.98,129.9,9.61,13.4,TMS 98/0505,Loam,31.16
1426.6,28.0,5.36,61.6,6.78,178.0,9.85,19.0,TMS 30572,Loam,29.1
1350.3,27.3,5.71,90.3,5.39,52.3,11.21,24.5,TME 419,Loam,27.5
906.7,20.3,6.24,71.7,8.05,196.3,15.27,10.4,TMS 30572,Clay,23.93
1229.8,26.3,6.24,37.6,5.74,26.4,12.22,28.4,TME 419,Loam,24.14
1425.4,24.4,5.37,74.1,7.85,247.0,9.78,24.4,TME 419,Sandy,23.39
699.2,27.5,5.66,65.8,6.22,95.3,10.01,20.0,Local,Sandy,16.78
1363.0,36.0,6.75,69.1,6.74,128.7,8.69,16.5,TME 419,Loam,25.58
1001.2,28.1,6.35,65.6,5.91,6.5,7.63,18.2,Local,Loam,24.33
1371.2,26.1,7.45,79.7,5.28,116.3,8.62,26.9,TMS 30572,Clay,24.69
971.0,29.8,6.83,83.4,4.41,133.7,8.07,27.2,TME 419,Loam,26.91
658.5,28.4,6.8,73.4,5.23,114.8,11.63,28.3,TME 419,Sandy,21.29
711.7,28.3,5.03,65.9,6.11,86.2,7.32,15.4,TME 419,Loam,26.52
1214.4,28.8,6.53,69.5,6.75,63.2,13.33,20.5,Local,Sandy-Loam,23.15
1277.9,33.2,5.96,70.2,7.71,187.8,11.88,28.4,TMS 98/0505,Sandy,27.68
928.7,23.6,5.61,60.4,5.97,121.8,10.05,8.8,Local,Clay,20.37
1391.6,28.4,6.12,76.9,5.44,212.4,10.0,11.8,TMS 98/0505,Loam,30.48
701.5,24.2,6.66,75.5,4.77,88.4,8.61,15.2,TME 419,Clay,22.6
1180.2,28.7,6.35,88.5,7.08,93.9,10.68,24.0,TMS 30572,Sandy,23.74
836.7,24.2,5.39,85.1,8.16,168.9,12.72,24.2,TME 419,Sandy-Loam,24.38
1004.4,25.7,6.52,61.8,8.02,22.6,8.24,12.7,TMS 98/0505,Clay,26.77
1214.2,26.1,5.55,79.8,7.35,47.2,6.17,0.0,Local,Sandy-Loam,23.17
941.9,29.9,6.15,58.6,7.27,185.8,11.76,17.5,TME 419,Sandy,20.32
1084.6,29.8,5.79,78.4,8.54,49.7,10.81,5.8,TMS 98/0505,Clay,29.89
1501.9,23.3,5.85,63.8,6.9,10.9,7.2,0.1,TMS 98/0505,Clay,23.59
1026.9,27.2,6.54,57.7,7.28,232.1,8.17,2.4,TME 419,Loam,31.16
1450.7,24.9,5.27,73.4,6.12,36.4,7.85,18.3,TMS 98/0505,Loam,27.57
861.1,23.2,7.36,37.9,4.87,131.0,8.19,28.6,TMS 30572,Clay,23.39
1358.9,26.3,4.73,49.0,5.68,124.1,9.19,15.4,Local,Sandy,19.42
1632.5,26.1,5.58,67.9,6.49,0.0,9.33,17.1,TME 419,Clay,20.64
458.5,34.3,6.26,71.0,6.57,104.0,8.37,26.8,TME 419,Sandy,19.14
960.9,28.3,6.41,65.6,8.81,146.9,8.1,0.0,TME 419,Sandy,29.29
1373.1,22.9,5.93,51.0,6.6,141.3,9.43,20.2,TMS 30572,Clay,23.5
1139.1,25.3,5.96,60.2,7.91,174.2,10.42,14.9,TME 419,Sandy,26.28
1311.3,30.1,6.29,74.7,5.98,96.8,9.21,20.7,Local,Sandy-Loam,23.84
1018.8,33.3,5.84,77.0,6.13,162.8,12.9,10.2,TMS 98/0505,Sandy-Loam,27.84
1226.0,22.2,6.98,69.8,4.91,78.6,11.27,6.8,Local,Clay,21.13
1153.3,21.4,6.59,83.9,5.61,35.4,6.02,16.4,TMS 98/0505,Sandy-Loam,25.46
1550.3,32.6,6.61,74.8,7.13,42.1,11.31,31.5,TMS 98/0505,Sandy-Loam,26.95
1276.3,28.2,5.32,61.0,6.51,32.3,11.51,23.6,TMS 98/0505,Loam,27.91
1301.3,24.4,5.94,66.6,7.63,180.6,8.91,9.9,TMS 30572,Sandy-Loam,30.04
1076.4,28.6,5.79,53.2,6.72,29.1,6.26,1.6,Local,Sandy,20.88
1053.7,19.1,5.3,68.7,6.08,136.4,10.02,0.0,TME 419,Loam,24.42
1070.2,27.0,6.25,83.3,9.08,104.0,9.98,28.2,Local,Loam,25.32
1318.3,28.0,5.62,78.2,6.39,113.8,7.2,5.4,Local,Clay,22.42
1073.7,29.8,6.46,86.8,7.9,201.8,6.37,11.7,TMS 30572,Sandy,25.62
1286.9,24.0,5.25,66.4,6.02,93.7,9.78,28.2,Local,Loam,21.95
1822.6,27.3,7.2,86.2,7.35,156.7,9.42,0.0,TMS 98/0505,Clay,27.32
1461.3,24.2,5.37,67.7,7.61,122.3,8.96,29.9,TMS 98/0505,Loam,28.31
1102.2,27.8,6.15,87.7,6.75,110.9,9.79,12.5,TME 419,Clay,28.12
1560.4,24.3,6.55,69.7,3.67,258.0,7.24,3.5,TME 419,Clay,25.62
1077.6,25.8,5.6,78.5,6.52,33.5,8.91,12.5,TME 419,Sandy,24.34
588.6,24.0,6.6,87.7,7.98,197.3,11.33,7.8,TMS 98/0505,Sandy,25.86
897.6,29.0,5.14,67.7,7.13,159.4,9.13,19.4,TMS 30572,Clay,24.59
638.8,29.6,7.02,72.6,7.04,91.2,5.82,8.5,Local,Loam,22.84
1094.5,26.3,6.01,85.5,4.43,217.8,8.82,0.0,TME 419,Sandy,27.92
1205.5,27.1,5.58,68.4,5.64,9.1,7.32,12.8,TME 419,Loam,26.44
1702.9,22.7,5.79,54.1,6.99,88.7,10.67,1.4,TMS 98/0505,Loam,29.49
1298.1,26.1,6.57,95.7,6.99,47.5,10.8,17.0,Local,Sandy,19.92
1134.3,26.8,5.59,64.4,7.96,144.7,5.85,3.1,Local,Loam,28.46
1448.8,34.9,5.48,71.9,6.33,53.2,11.9,10.1,TMS 98/0505,Clay,23.92
536.7,23.7,5.84,83.9,6.99,146.0,7.22,16.8,TMS 98/0505,Loam,25.14
1270.7,31.4,5.18,62.7,6.52,108.8,13.9,12.9,TMS 98/0505,Sandy-Loam,28.19
1431.3,30.0,7.27,57.9,5.32,91.2,9.88,17.5,TME 419,Sandy,22.79
756.4,27.8,5.6,73.0,3.79,143.3,6.88,21.8,TMS 30572,Loam,26.47
1543.1,32.3,6.58,48.5,7.02,103.9,7.15,3.4,TME 419,Clay,24.75
1301.5,28.1,6.15,66.5,6.71,54.7,10.87,14.4,Local,Clay,25.29
